file_name,telegram_type,station_code,data_id,announced,created,obs_kind,date,fct_start_day,fct_start_hour,fct_end_day,fct_end_hour,wind_dir,wind_speed_over100kt_flag,wind_speed,wind_gusts_over100kt_flag,wind_gusts,wind_dir_min,wind_dir_max,cavok,visibility,rvr_count,wx_count,cloud_count,str_cloud,temp_sign,temp,dew_point_sign,dew_point,altimeter_hpa,bulletin,wx
20180112_000000.002,0,RJFK,,,,0,20180112000000,-1,-1,-1,-1,340,-1,7,-1,-1,-1,-1,,9999,0,1,1,FEW 20,-1,1,-1,6,1025,RJFK 120000Z 34007KT 9999 -SHSN FEW020 M01/M06 Q1025 RMK     2CU020 A3029=,- SN SH
20180112_010000.003,0,RJFK,,,,0,20180112010000,-1,-1,-1,-1,350,-1,14,-1,-1,-1,-1,,9999,0,1,1,FEW 20,-1,1,-1,6,1025,RJFK 120100Z 35014KT 9999 -SHSN FEW020 M01/M06 Q1025 RMK     2CU020 A3029=,- SN SH
20180112_020000.002,0,RJFK,,,,0,20180112020000,-1,-1,-1,-1,340,-1,15,-1,-1,-1,-1,,9999,0,1,1,FEW 25,1,1,-1,7,1025,RJFK 120200Z 34015KT 9999 -SHSN FEW025 01/M07 Q1025 RMK 2CU025     A3029=,- SN SH
20180112_030000.002,0,RJFK,,,,0,20180112030000,-1,-1,-1,-1,340,-1,18,-1,-1,-1,-1,,9999,0,1,1,FEW 30,1,1,-1,7,1024,RJFK 120300Z 34018KT 9999 -SHSN FEW030 01/M07 Q1024 RMK 2CU030     A3026=,- SN SH
20180112_040000.002,0,RJFK,,,,0,20180112040000,-1,-1,-1,-1,340,-1,17,-1,-1,-1,-1,,9999,0,1,2,FEW 25   SCT 30,1,2,-1,7,1024,RJFK 120400Z 34017KT 9999 -SHSN FEW025 SCT030 02/M07 Q1024 RMK     1CU025 3CU030 A3025=,- SN SH
20180112_050000.003,0,RJFK,,,,0,20180112050000,-1,-1,-1,-1,330,-1,15,-1,-1,-1,-1,,9999,0,1,2,FEW 25   SCT 60,1,2,-1,7,1024,RJFK 120500Z 33015KT 9999 -SHSN FEW025 SCT060 02/M07 Q1024 RMK     2CU025 3SC060 A3024=,- SN SH
20180112_060000.002,0,RJFK,,,,0,20180112060000,-1,-1,-1,-1,350,-1,12,-1,-1,-1,-1,,9999,0,1,2,FEW 25   SCT 60,1,1,-1,7,1024,RJFK 120600Z 35012KT 9999 VCSH FEW025 SCT060 01/M07 Q1024 RMK     2CU025 3SC060 A3025=,VC SH
20180112_070000.003,0,RJFK,,,,0,20180112070000,-1,-1,-1,-1,350,-1,12,-1,-1,-1,-1,,9999,0,1,2,FEW 20   SCT 35,1,1,-1,6,1025,RJFK 120700Z 35012KT 9999 VCSH FEW020 SCT035 01/M06 Q1025 RMK     1CU020 4CU035 A3027=,VC SH
20180112_080000.002,0,RJFK,,,,0,20180112080000,-1,-1,-1,-1,330,-1,11,-1,-1,-1,-1,,9999,0,1,2,FEW 20   BKN 40,1,0,-1,6,1025,RJFK 120800Z 33011KT 9999 -SHSN FEW020 BKN040 00/M06 Q1025 RMK     1CU020 5CU040 A3029=,- SN SH
20180112_090000.002,0,RJFK,,,,0,20180112090000,-1,-1,-1,-1,350,-1,6,-1,-1,-1,-1,,9999,0,1,2,FEW 20   BKN 40,-1,1,-1,4,1026,RJFK 120900Z 35006KT 9999 -SHSN FEW020 BKN040 M01/M04 Q1026     RMK 1CU020 5CU040 A3031=,- SN SH
20180112_100000.002,0,RJFK,,,,0,20180112100000,-1,-1,-1,-1,320,-1,9,-1,-1,-1,-1,,9999,0,0,1,FEW 20,-1,3,-1,5,1026,RJFK 121000Z 32009KT 9999 FEW020 M03/M05 Q1026 RMK 1CU020     A3032=,
20180112_110000.002,0,RJFK,,,,0,20180112110000,-1,-1,-1,-1,30,-1,3,-1,-1,340,70,,9999,0,0,1,FEW 30,-1,3,-1,6,1027,RJFK 121100Z 03003KT 340V070 9999 FEW030 M03/M06 Q1027 RMK     1CU030 A3033=,
20180112_120000.002,0,RJFK,,,,0,20180112120000,-1,-1,-1,-1,310,-1,5,-1,-1,-1,-1,,9999,0,0,1,FEW 30,-1,2,-1,7,1027,RJFK 121200Z 31005KT 9999 FEW030 M02/M07 Q1027 RMK 1CU030     A3033=,
20180112_210000.002,0,RJFK,,,,0,20180112210000,-1,-1,-1,-1,290,-1,8,-1,-1,-1,-1,,9999,0,0,1,FEW 35,-1,4,-1,9,1027,RJFK 122100Z 29008KT 9999 FEW035 M04/M09 Q1027 RMK 1CU035     A3034=,
20180112_220000.002,0,RJFK,,,,0,20180112220000,-1,-1,-1,-1,320,-1,7,-1,-1,-1,-1,,9999,0,0,1,FEW 35,-1,4,-1,9,1027,RJFK 122200Z 32007KT 9999 FEW035 M04/M09 Q1027 RMK 1CU035     A3034=,
20180112_230000.002,0,RJFK,,,,0,20180112230000,-1,-1,-1,-1,310,-1,8,-1,-1,270,340,,9999,0,0,1,FEW 35,-1,2,-1,8,1028,RJFK 122300Z 31008KT 270V340 9999 FEW035 M02/M08 Q1028 RMK     1CU035 A3037=,
